Date : 2022-11-03 18:08:30
Directory : c:\Users\hamid\wachlist\watch
Total : 93 files,  40165 codes, 380 comments, 711 blanks, all 41256 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\hamid\wachlist\watch\screens\splash\style\splash.style.tsx             | TypeScript React   |         30 |          0 |          4 |         34 |
| c:\Users\hamid\wachlist\watch\screens\start\index.tsx                           | TypeScript React   |        193 |          0 |          3 |        196 |
| c:\Users\hamid\wachlist\watch\screens\video\index.tsx                           | TypeScript React   |         72 |          0 |          2 |         74 |
| c:\Users\hamid\wachlist\watch\screens\wellcome\index.tsx                        | TypeScript React   |          9 |          0 |          2 |         11 |
| c:\Users\hamid\wachlist\watch\screens\wellcome\style\welcome.style.tsx          | TypeScript React   |         23 |          0 |          3 |         26 |
| c:\Users\hamid\wachlist\watch\service\map\Map.action.tsx                        | TypeScript React   |         14 |          0 |          3 |         17 |
| c:\Users\hamid\wachlist\watch\service\map\Map.context.tsx                       | TypeScript React   |        181 |          7 |         25 |        213 |
| c:\Users\hamid\wachlist\watch\service\map\Map.service.tsx                       | TypeScript React   |         40 |          3 |         11 |         54 |
| c:\Users\hamid\wachlist\watch\service\object\Object.action.tsx                  | TypeScript React   |         45 |          0 |          9 |         54 |
| c:\Users\hamid\wachlist\watch\service\object\Object.context.tsx                 | TypeScript React   |        248 |          1 |         32 |        281 |
| c:\Users\hamid\wachlist\watch\service\object\Object.service.tsx                 | TypeScript React   |        199 |          4 |         21 |        224 |
| c:\Users\hamid\wachlist\watch\service\profile\Profile.action.tsx                | TypeScript React   |         14 |          0 |          1 |         15 |
| c:\Users\hamid\wachlist\watch\service\profile\Profile.context.tsx               | TypeScript React   |         67 |          1 |          5 |         73 |
| c:\Users\hamid\wachlist\watch\service\profile\Profile.service.tsx               | TypeScript React   |         75 |          4 |          5 |         84 |
| c:\Users\hamid\wachlist\watch\service\register\Auth.action.tsx                  | TypeScript React   |         23 |          0 |          2 |         25 |
| c:\Users\hamid\wachlist\watch\service\register\Auth.context.tsx                 | TypeScript React   |        124 |          1 |         11 |        136 |
| c:\Users\hamid\wachlist\watch\service\register\Auth.service.tsx                 | TypeScript React   |        158 |          4 |          7 |        169 |
| c:\Users\hamid\wachlist\watch\tsconfig.json                                     | JSON with Comments |          6 |          0 |          1 |          7 |
| c:\Users\hamid\wachlist\watch\types.tsx                                         | TypeScript React   |         25 |          4 |          7 |         36 |
| c:\Users\hamid\wachlist\watch\utils\http-common.ts                              | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\hamid\wachlist\watch\utils\main.js                                     | JavaScript         |          9 |          0 |          2 |         11 |
| c:\Users\hamid\wachlist\watch\utils\storeData\index.tsx                         | TypeScript React   |         50 |          7 |         14 |         71 |
| c:\Users\hamid\wachlist\watch\utils\storeData\key.tsx                           | TypeScript React   |          4 |          0 |          1 |          5 |
| Total                                                                           |                    |     40,165 |        380 |        711 |     41,256 |
+---------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
